id,symptom,question,answer,recommend_supplement,recommend_action
24,두통,목과 어깨 결림으로 두통이 생기는데 어떻게 해야 하나요?,뇌혈류 개선을 위한 은행잎 추출물과 오메가3가 두통 빈도를 줄이는 데 도움이 됩니다.,"코큐텐, 리보플라빈(B2)",목 스트레칭
25,두통,긴장성 두통으로 고생 중인데 도움될 영양제가 있나요?,"긴장성 두통은 마그네슘 부족과 관련이 있으며, 혈관 확장으로 인한 편두통은 리보플라빈과 코큐텐이 도움이 됩니다.","오메가3, 은행잎추출물, 마그네슘","충분한 수분 섭취, 블루라이트 차단"
26,두통,컴퓨터 작업 후 머리가 아픈데 예방할 수 있나요?,목과 어깨 근육 긴장으로 인한 두통은 마그네슘 보충과 스트레칭으로 완화될 수 있습니다.,"오메가3, 은행잎추출물, 리보플라빈(B2)","블루라이트 차단, 온찜질"
27,두통,스트레스 받으면 두통이 심해지는데 관리 방법 알려주세요.,뇌혈류 개선을 위한 은행잎 추출물과 오메가3가 두통 빈도를 줄이는 데 도움이 됩니다.,"은행잎추출물, 마그네슘","온찜질, 규칙적인 휴식"
28,두통,두통약을 자주 먹는데 다른 방법이 없을까요?,"긴장성 두통은 마그네슘 부족과 관련이 있으며, 혈관 확장으로 인한 편두통은 리보플라빈과 코큐텐이 도움이 됩니다.","은행잎추출물, 마그네슘",규칙적인 휴식
29,두통,날씨 변화에 두통이 생기는데 왜 그런가요?,목과 어깨 근육 긴장으로 인한 두통은 마그네슘 보충과 스트레칭으로 완화될 수 있습니다.,"리보플라빈(B2), 은행잎추출물, 코큐텐","온찜질, 충분한 수분 섭취"
30,두통,편두통이 자주 발생하는데 완화 방법이 있을까요?,뇌혈류 개선을 위한 은행잎 추출물과 오메가3가 두통 빈도를 줄이는 데 도움이 됩니다.,"오메가3, 코큐텐","블루라이트 차단, 규칙적인 휴식"
31,스트레스,업무 스트레스가 심한데 긴장을 풀 수 있는 방법이 있을까요?,코티솔 호르몬 균형과 신경 안정을 위해 아슈와간다와 L-테아닌이 효과적입니다. 적응소(adaptogen) 성분이 스트레스 반응을 조절합니다.,"마그네슘, 비타민B6","취미 활동, 충분한 수면"
32,스트레스,불안하고 예민해서 잠이 안 오는데 어떤 영양제가 좋을까요?,GABA와 마그네슘은 신경 전달물질로 작용하여 불안감을 줄이고 긴장을 완화하는 데 도움이 됩니다.,"로디올라, L-테아닌, 비타민B6","취미 활동, 규칙적인 운동"
33,스트레스,스트레스로 소화가 안 되는데 개선 방법이 있나요?,"비타민B6와 아연은 세로토닌 합성에 필요하며, 감정 조절과 스트레스 대응력 향상에 중요합니다.","아연, 로디올라","명상 10분, 규칙적인 운동"
34,스트레스,감정 기복이 심한데 안정에 도움되는 성분이 있나요?,코티솔 호르몬 균형과 신경 안정을 위해 아슈와간다와 L-테아닌이 효과적입니다. 적응소(adaptogen) 성분이 스트레스 반응을 조절합니다.,"아슈와간다, L-테아닌, GABA",취미 활동
35,스트레스,긴장을 자주 해서 몸이 경직되는데 완화 방법 알려주세요.,GABA와 마그네슘은 신경 전달물질로 작용하여 불안감을 줄이고 긴장을 완화하는 데 도움이 됩니다.,"비타민B6, 로디올라","취미 활동, 명상 10분"
36,스트레스,시험이나 발표 전에 긴장을 덜 할 수 있는 방법이 있나요?,"비타민B6와 아연은 세로토닌 합성에 필요하며, 감정 조절과 스트레스 대응력 향상에 중요합니다.","로디올라, 마그네슘",명상 10분
37,스트레스,스트레스성 두통과 소화불량이 동시에 오는데 어떻게 하나요?,코티솔 호르몬 균형과 신경 안정을 위해 아슈와간다와 L-테아닌이 효과적입니다. 적응소(adaptogen) 성분이 스트레스 반응을 조절합니다.,"아연, 아슈와간다, 로디올라",충분한 수면
38,스트레스,업무 스트레스가 심한데 긴장을 풀 수 있는 방법이 있을까요?,GABA와 마그네슘은 신경 전달물질로 작용하여 불안감을 줄이고 긴장을 완화하는 데 도움이 됩니다.,"아연, 로디올라, GABA","규칙적인 운동, 심호흡 5분"
39,스트레스,불안하고 예민해서 잠이 안 오는데 어떤 영양제가 좋을까요?,"비타민B6와 아연은 세로토닌 합성에 필요하며, 감정 조절과 스트레스 대응력 향상에 중요합니다.","로디올라, 아슈와간다, 비타민B6","규칙적인 운동, 취미 활동"
40,스트레스,스트레스로 소화가 안 되는데 개선 방법이 있나요?,코티솔 호르몬 균형과 신경 안정을 위해 아슈와간다와 L-테아닌이 효과적입니다. 적응소(adaptogen) 성분이 스트레스 반응을 조절합니다.,"로디올라, 마그네슘",규칙적인 운동
41,스트레스,감정 기복이 심한데 안정에 도움되는 성분이 있나요?,GABA와 마그네슘은 신경 전달물질로 작용하여 불안감을 줄이고 긴장을 완화하는 데 도움이 됩니다.,"L-테아닌, GABA","규칙적인 운동, 명상 10분"
42,스트레스,긴장을 자주 해서 몸이 경직되는데 완화 방법 알려주세요.,"비타민B6와 아연은 세로토닌 합성에 필요하며, 감정 조절과 스트레스 대응력 향상에 중요합니다.","아슈와간다, L-테아닌, GABA",취미 활동
43,스트레스,시험이나 발표 전에 긴장을 덜 할 수 있는 방법이 있나요?,코티솔 호르몬 균형과 신경 안정을 위해 아슈와간다와 L-테아닌이 효과적입니다. 적응소(adaptogen) 성분이 스트레스 반응을 조절합니다.,"아연, L-테아닌, 마그네슘",취미 활동
44,스트레스,스트레스성 두통과 소화불량이 동시에 오는데 어떻게 하나요?,GABA와 마그네슘은 신경 전달물질로 작용하여 불안감을 줄이고 긴장을 완화하는 데 도움이 됩니다.,"비타민B6, 마그네슘, L-테아닌","규칙적인 운동, 심호흡 5분"
45,스트레스,업무 스트레스가 심한데 긴장을 풀 수 있는 방법이 있을까요?,"비타민B6와 아연은 세로토닌 합성에 필요하며, 감정 조절과 스트레스 대응력 향상에 중요합니다.","비타민B6, 아연",심호흡 5분
46,면역저하,환절기마다 감기에 걸리는데 면역력 강화 방법이 있을까요?,비타민C와 아연은 백혈구 기능을 강화하고 항체 생성을 돕습니다. 면역세포 활성화에 필수적인 영양소입니다.,"프로폴리스, 로얄젤리",충분한 수면
47,면역저하,상처가 잘 낫지 않는데 영양 부족인가요?,"비타민D는 면역조절 기능이 있으며, 특히 호흡기 감염 예방에 효과적입니다. 햇빛 노출이 부족하면 보충이 필요합니다.","비타민D, 로얄젤리, 홍삼",손 씻기
48,면역저하,자주 아픈 편인데 면역력을 높이려면 어떻게 해야 하나요?,프로폴리스와 홍삼은 자연 면역력을 높이고 피로 회복을 돕습니다. 지속적인 섭취가 중요합니다.,"비타민C, 홍삼",손 씻기
49,면역저하,독감 예방을 위해 어떤 영양제를 먹으면 좋을까요?,비타민C와 아연은 백혈구 기능을 강화하고 항체 생성을 돕습니다. 면역세포 활성화에 필수적인 영양소입니다.,"홍삼, 아연","규칙적 운동, 손 씻기"
50,면역저하,피로하면 바로 몸살이 나는데 체질 개선이 가능한가요?,"비타민D는 면역조절 기능이 있으며, 특히 호흡기 감염 예방에 효과적입니다. 햇빛 노출이 부족하면 보충이 필요합니다.","비타민D, 로얄젤리, 프로폴리스",균형잡힌 식사
51,면역저하,가족 중 아픈 사람이 있으면 바로 옮는데 예방법이 있나요?,프로폴리스와 홍삼은 자연 면역력을 높이고 피로 회복을 돕습니다. 지속적인 섭취가 중요합니다.,"아연, 로얄젤리",충분한 수면
52,면역저하,면역력이 약해진 것 같은데 회복 기간은 얼마나 걸리나요?,비타민C와 아연은 백혈구 기능을 강화하고 항체 생성을 돕습니다. 면역세포 활성화에 필수적인 영양소입니다.,"프로폴리스, 셀레늄, 비타민C","충분한 수면, 손 씻기"
53,면역저하,환절기마다 감기에 걸리는데 면역력 강화 방법이 있을까요?,"비타민D는 면역조절 기능이 있으며, 특히 호흡기 감염 예방에 효과적입니다. 햇빛 노출이 부족하면 보충이 필요합니다.","비타민D, 아연, 비타민C","스트레스 관리, 규칙적 운동"
54,면역저하,상처가 잘 낫지 않는데 영양 부족인가요?,프로폴리스와 홍삼은 자연 면역력을 높이고 피로 회복을 돕습니다. 지속적인 섭취가 중요합니다.,"홍삼, 로얄젤리","균형잡힌 식사, 손 씻기"
55,면역저하,자주 아픈 편인데 면역력을 높이려면 어떻게 해야 하나요?,비타민C와 아연은 백혈구 기능을 강화하고 항체 생성을 돕습니다. 면역세포 활성화에 필수적인 영양소입니다.,"아연, 비타민C","스트레스 관리, 균형잡힌 식사"
56,면역저하,독감 예방을 위해 어떤 영양제를 먹으면 좋을까요?,"비타민D는 면역조절 기능이 있으며, 특히 호흡기 감염 예방에 효과적입니다. 햇빛 노출이 부족하면 보충이 필요합니다.","로얄젤리, 아연",스트레스 관리
57,면역저하,피로하면 바로 몸살이 나는데 체질 개선이 가능한가요?,프로폴리스와 홍삼은 자연 면역력을 높이고 피로 회복을 돕습니다. 지속적인 섭취가 중요합니다.,"로얄젤리, 홍삼",균형잡힌 식사
58,면역저하,가족 중 아픈 사람이 있으면 바로 옮는데 예방법이 있나요?,비타민C와 아연은 백혈구 기능을 강화하고 항체 생성을 돕습니다. 면역세포 활성화에 필수적인 영양소입니다.,"로얄젤리, 비타민C, 홍삼","손 씻기, 규칙적 운동"
59,면역저하,면역력이 약해진 것 같은데 회복 기간은 얼마나 걸리나요?,"비타민D는 면역조절 기능이 있으며, 특히 호흡기 감염 예방에 효과적입니다. 햇빛 노출이 부족하면 보충이 필요합니다.","홍삼, 비타민D",손 씻기
60,면역저하,환절기마다 감기에 걸리는데 면역력 강화 방법이 있을까요?,프로폴리스와 홍삼은 자연 면역력을 높이고 피로 회복을 돕습니다. 지속적인 섭취가 중요합니다.,"프로폴리스, 비타민D, 셀레늄",규칙적 운동
61,눈피로,하루 종일 모니터를 보는데 눈 건강에 좋은 영양제가 있나요?,루테인과 제아잔틴은 황반 색소 밀도를 높여 블루라이트로부터 눈을 보호합니다. 장기간 화면 노출 시 필수적입니다.,"제아잔틴, 빌베리",블루라이트 차단
62,눈피로,눈이 자주 충혈되고 건조한데 어떻게 관리해야 하나요?,"안구 건조는 오메가3의 항염 작용으로 개선될 수 있으며, 눈물막 안정성을 높입니다.","루테인, 제아잔틴, 빌베리","눈 마사지, 블루라이트 차단"
63,눈피로,야간 운전 시 시야가 흐릿한데 개선 방법이 있을까요?,아스타잔틴은 강력한 항산화제로 눈의 모양체근 피로를 줄이고 초점 조절 능력을 향상시킵니다.,"루테인, 오메가3, 제아잔틴",인공눈물 사용
64,눈피로,눈 초점이 잘 안 맞고 침침한데 어떤 성분이 도움될까요?,루테인과 제아잔틴은 황반 색소 밀도를 높여 블루라이트로부터 눈을 보호합니다. 장기간 화면 노출 시 필수적입니다.,"제아잔틴, 빌베리",충분한 수면
65,눈피로,스마트폰 사용 후 눈이 아픈데 예방할 수 있나요?,"안구 건조는 오메가3의 항염 작용으로 개선될 수 있으며, 눈물막 안정성을 높입니다.","빌베리, 제아잔틴","눈 마사지, 인공눈물 사용"
66,눈피로,안구건조증이 심한데 영양제로 개선 가능한가요?,아스타잔틴은 강력한 항산화제로 눈의 모양체근 피로를 줄이고 초점 조절 능력을 향상시킵니다.,"오메가3, 빌베리","눈 마사지, 인공눈물 사용"
67,눈피로,눈 떨림 증상이 자주 있는데 원인이 뭘까요?,루테인과 제아잔틴은 황반 색소 밀도를 높여 블루라이트로부터 눈을 보호합니다. 장기간 화면 노출 시 필수적입니다.,"빌베리, 루테인",20-20-20 규칙
68,눈피로,하루 종일 모니터를 보는데 눈 건강에 좋은 영양제가 있나요?,"안구 건조는 오메가3의 항염 작용으로 개선될 수 있으며, 눈물막 안정성을 높입니다.","빌베리, 제아잔틴",블루라이트 차단
69,눈피로,눈이 자주 충혈되고 건조한데 어떻게 관리해야 하나요?,아스타잔틴은 강력한 항산화제로 눈의 모양체근 피로를 줄이고 초점 조절 능력을 향상시킵니다.,"빌베리, 오메가3",충분한 수면
70,눈피로,야간 운전 시 시야가 흐릿한데 개선 방법이 있을까요?,루테인과 제아잔틴은 황반 색소 밀도를 높여 블루라이트로부터 눈을 보호합니다. 장기간 화면 노출 시 필수적입니다.,"오메가3, 비타민A",눈 마사지
71,눈피로,눈 초점이 잘 안 맞고 침침한데 어떤 성분이 도움될까요?,"안구 건조는 오메가3의 항염 작용으로 개선될 수 있으며, 눈물막 안정성을 높입니다.","루테인, 빌베리, 오메가3",20-20-20 규칙
72,눈피로,스마트폰 사용 후 눈이 아픈데 예방할 수 있나요?,아스타잔틴은 강력한 항산화제로 눈의 모양체근 피로를 줄이고 초점 조절 능력을 향상시킵니다.,"루테인, 제아잔틴","20-20-20 규칙, 눈 마사지"
73,눈피로,안구건조증이 심한데 영양제로 개선 가능한가요?,루테인과 제아잔틴은 황반 색소 밀도를 높여 블루라이트로부터 눈을 보호합니다. 장기간 화면 노출 시 필수적입니다.,"비타민A, 빌베리, 제아잔틴",블루라이트 차단
74,눈피로,눈 떨림 증상이 자주 있는데 원인이 뭘까요?,"안구 건조는 오메가3의 항염 작용으로 개선될 수 있으며, 눈물막 안정성을 높입니다.","아스타잔틴, 루테인",충분한 수면
75,눈피로,하루 종일 모니터를 보는데 눈 건강에 좋은 영양제가 있나요?,아스타잔틴은 강력한 항산화제로 눈의 모양체근 피로를 줄이고 초점 조절 능력을 향상시킵니다.,"빌베리, 오메가3, 비타민A",블루라이트 차단
76,소화불량,식사 후 항상 더부룩한데 소화 효소가 필요한가요?,"소화 효소(프로테아제, 아밀라제, 리파제)는 음식물 분해를 돕고 소화 부담을 줄입니다.","식이섬유, 알로에베라, 페퍼민트","규칙적인 식사, 과식 피하기"
77,소화불량,가스가 자주 차고 배가 아픈데 어떻게 해야 하나요?,유산균(프로바이오틱스)은 장내 미생물 균형을 개선하고 장 운동을 정상화합니다. 변비와 설사 모두에 도움이 됩니다.,"L-글루타민, 알로에베라","규칙적인 식사, 자극적 음식 줄이기"
78,소화불량,만성 변비로 고생 중인데 식이섬유 외에 다른 방법이 있나요?,L-글루타민은 장벽 세포의 에너지원으로 장 점막 회복과 보호에 중요합니다.,"식이섬유, 알로에베라, 유산균","천천히 씹기, 자극적 음식 줄이기"
79,소화불량,위산 역류로 불편한데 완화에 도움되는 영양제가 있을까요?,"소화 효소(프로테아제, 아밀라제, 리파제)는 음식물 분해를 돕고 소화 부담을 줄입니다.","페퍼민트, 유산균","과식 피하기, 자극적 음식 줄이기"
80,소화불량,과민성 대장 증후군인데 장 건강 개선 방법 알려주세요.,유산균(프로바이오틱스)은 장내 미생물 균형을 개선하고 장 운동을 정상화합니다. 변비와 설사 모두에 도움이 됩니다.,"알로에베라, L-글루타민","과식 피하기, 식후 산책"
81,소화불량,스트레스 받으면 설사를 하는데 관리 방법이 있나요?,L-글루타민은 장벽 세포의 에너지원으로 장 점막 회복과 보호에 중요합니다.,"L-글루타민, 알로에베라, 유산균","자극적 음식 줄이기, 규칙적인 식사"
82,소화불량,기름진 음식만 먹으면 속이 불편한데 소화력을 높이려면?,"소화 효소(프로테아제, 아밀라제, 리파제)는 음식물 분해를 돕고 소화 부담을 줄입니다.","페퍼민트, L-글루타민, 유산균","과식 피하기, 자극적 음식 줄이기"
83,소화불량,식사 후 항상 더부룩한데 소화 효소가 필요한가요?,유산균(프로바이오틱스)은 장내 미생물 균형을 개선하고 장 운동을 정상화합니다. 변비와 설사 모두에 도움이 됩니다.,"L-글루타민, 소화효소, 알로에베라",식후 산책
84,소화불량,가스가 자주 차고 배가 아픈데 어떻게 해야 하나요?,L-글루타민은 장벽 세포의 에너지원으로 장 점막 회복과 보호에 중요합니다.,"식이섬유, 알로에베라, L-글루타민",식후 산책
85,소화불량,만성 변비로 고생 중인데 식이섬유 외에 다른 방법이 있나요?,"소화 효소(프로테아제, 아밀라제, 리파제)는 음식물 분해를 돕고 소화 부담을 줄입니다.","알로에베라, 페퍼민트, 유산균","천천히 씹기, 자극적 음식 줄이기"
86,소화불량,위산 역류로 불편한데 완화에 도움되는 영양제가 있을까요?,유산균(프로바이오틱스)은 장내 미생물 균형을 개선하고 장 운동을 정상화합니다. 변비와 설사 모두에 도움이 됩니다.,"알로에베라, 페퍼민트","규칙적인 식사, 천천히 씹기"
87,소화불량,과민성 대장 증후군인데 장 건강 개선 방법 알려주세요.,L-글루타민은 장벽 세포의 에너지원으로 장 점막 회복과 보호에 중요합니다.,"알로에베라, L-글루타민, 유산균",자극적 음식 줄이기
88,소화불량,스트레스 받으면 설사를 하는데 관리 방법이 있나요?,"소화 효소(프로테아제, 아밀라제, 리파제)는 음식물 분해를 돕고 소화 부담을 줄입니다.","알로에베라, 식이섬유, 유산균",식후 산책
89,소화불량,기름진 음식만 먹으면 속이 불편한데 소화력을 높이려면?,유산균(프로바이오틱스)은 장내 미생물 균형을 개선하고 장 운동을 정상화합니다. 변비와 설사 모두에 도움이 됩니다.,"L-글루타민, 소화효소, 유산균",과식 피하기
90,소화불량,식사 후 항상 더부룩한데 소화 효소가 필요한가요?,L-글루타민은 장벽 세포의 에너지원으로 장 점막 회복과 보호에 중요합니다.,"소화효소, 식이섬유","자극적 음식 줄이기, 천천히 씹기"
91,피부트러블,성인 여드름이 계속 나는데 내부적 원인이 있을까요?,아연은 피지 분비를 조절하고 염증성 여드름을 완화합니다. 피부 재생에도 필수적인 미네랄입니다.,"오메가3, 아연, 콜라겐","규칙적 수면, 충분한 수분 섭취"
92,피부트러블,피부가 건조하고 각질이 심한데 보습 외에 필요한 게 있나요?,"비타민C와 콜라겐은 피부 탄력과 재생을 돕고, 흉터와 색소침착 개선에 효과적입니다.","비타민C, 비타민B5, 아연","자외선 차단, 충분한 수분 섭취"
93,피부트러블,얼굴이 자주 붉어지고 따가운데 민감성 피부 개선 방법은?,오메가3의 항염 작용은 민감성 피부의 홍조와 염증을 줄이는 데 도움이 됩니다.,"비타민C, 비타민E, 비타민B5","스트레스 관리, 세안 철저히"
94,피부트러블,피부 톤이 칙칙하고 생기가 없는데 어떤 영양소가 필요한가요?,아연은 피지 분비를 조절하고 염증성 여드름을 완화합니다. 피부 재생에도 필수적인 미네랄입니다.,"프로바이오틱스, 콜라겐, 아연","규칙적 수면, 스트레스 관리"
95,피부트러블,여드름 자국이 잘 안 없어지는데 재생에 도움되는 성분은?,"비타민C와 콜라겐은 피부 탄력과 재생을 돕고, 흉터와 색소침착 개선에 효과적입니다.","비타민C, 비타민B5","세안 철저히, 충분한 수분 섭취"
96,피부트러블,계절마다 피부 상태가 달라지는데 관리 방법 알려주세요.,오메가3의 항염 작용은 민감성 피부의 홍조와 염증을 줄이는 데 도움이 됩니다.,"비타민B5, 아연","스트레스 관리, 세안 철저히"
97,피부트러블,스트레스 받으면 피부가 나빠지는데 개선 방법이 있나요?,아연은 피지 분비를 조절하고 염증성 여드름을 완화합니다. 피부 재생에도 필수적인 미네랄입니다.,"프로바이오틱스, 비타민E, 비타민B5","스트레스 관리, 충분한 수분 섭취"
98,피부트러블,성인 여드름이 계속 나는데 내부적 원인이 있을까요?,"비타민C와 콜라겐은 피부 탄력과 재생을 돕고, 흉터와 색소침착 개선에 효과적입니다.","오메가3, 아연","자외선 차단, 세안 철저히"
99,피부트러블,피부가 건조하고 각질이 심한데 보습 외에 필요한 게 있나요?,오메가3의 항염 작용은 민감성 피부의 홍조와 염증을 줄이는 데 도움이 됩니다.,"비타민E, 오메가3","스트레스 관리, 세안 철저히"
100,피부트러블,얼굴이 자주 붉어지고 따가운데 민감성 피부 개선 방법은?,아연은 피지 분비를 조절하고 염증성 여드름을 완화합니다. 피부 재생에도 필수적인 미네랄입니다.,"비타민B5, 비타민E",규칙적 수면
101,피부트러블,피부 톤이 칙칙하고 생기가 없는데 어떤 영양소가 필요한가요?,"비타민C와 콜라겐은 피부 탄력과 재생을 돕고, 흉터와 색소침착 개선에 효과적입니다.","아연, 콜라겐",충분한 수분 섭취
102,피부트러블,여드름 자국이 잘 안 없어지는데 재생에 도움되는 성분은?,오메가3의 항염 작용은 민감성 피부의 홍조와 염증을 줄이는 데 도움이 됩니다.,"콜라겐, 비타민C, 아연","자외선 차단, 세안 철저히"
103,피부트러블,계절마다 피부 상태가 달라지는데 관리 방법 알려주세요.,아연은 피지 분비를 조절하고 염증성 여드름을 완화합니다. 피부 재생에도 필수적인 미네랄입니다.,"비타민E, 콜라겐, 오메가3","스트레스 관리, 충분한 수분 섭취"
104,피부트러블,스트레스 받으면 피부가 나빠지는데 개선 방법이 있나요?,"비타민C와 콜라겐은 피부 탄력과 재생을 돕고, 흉터와 색소침착 개선에 효과적입니다.","콜라겐, 비타민E",세안 철저히
105,피부트러블,성인 여드름이 계속 나는데 내부적 원인이 있을까요?,오메가3의 항염 작용은 민감성 피부의 홍조와 염증을 줄이는 데 도움이 됩니다.,"비타민C, 오메가3, 비타민B5","규칙적 수면, 자외선 차단"
106,빈혈,자주 어지럽고 현기증이 나는데 철분제를 먹어야 하나요?,"철분은 헤모글로빈 합성에 필수적이며, 비타민C와 함께 섭취하면 흡수율이 증가합니다. 엽산과 비타민B12도 적혈구 생성에 필요합니다.","비타민C, 비타민B12",충분한 휴식
107,빈혈,숨이 차고 계단 오르기 힘든데 빈혈 증상인가요?,어지럼증과 피로는 산소 운반 능력 저하로 나타나는 빈혈의 대표적 증상입니다. 철분 보충과 함께 규칙적인 식사가 중요합니다.,"엽산, 비타민C, 비타민B12","규칙적 식사, 따뜻한 차"
